סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
205       ,חגלה                     ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,806       ,52        ,255       ,215       ,169       ,36        ,79
206       ,רמות השבים               ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1645      ,123       ,367       ,508       ,230       ,167       ,250
207       ,גבעת ח"ן                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,412       ,36        ,76        ,133       ,43        ,38        ,86
208       ,מוצא עילית               ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1175      ,71        ,185       ,341       ,150       ,132       ,296
212       ,בית צבי                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,132       ,31        ,34        ,58        ,2         ,3         ,4
213       ,משמרות                   ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1003      ,102       ,324       ,312       ,135       ,46        ,84
217       ,כפר הרא"ה                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,1261      ,144       ,398       ,384       ,117       ,66        ,152
218       ,גני עם                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,273       ,19        ,42        ,75        ,42        ,30        ,65
219       ,חיבת ציון                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,677       ,68        ,165       ,231       ,64        ,62        ,87
220       ,כפר ביאליק               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,672       ,66        ,135       ,225       ,67        ,51        ,128
223       ,עין עירון                ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,579       ,52        ,116       ,209       ,79        ,55        ,68
224       ,שושנת העמקים             ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,594       ,47        ,97        ,208       ,77        ,58        ,107
225       ,גן השומרון               ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,865       ,66        ,178       ,301       ,108       ,84        ,128
229       ,גני תקווה                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,20793     ,1989      ,4679      ,6704      ,2503      ,1676      ,3242
230       ,מעש                      ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,957       ,89        ,181       ,310       ,108       ,76        ,193
232       ,שפיים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1439      ,122       ,304       ,482       ,192       ,115       ,224
233       ,כפר ידידיה               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,731       ,50        ,200       ,207       ,121       ,41        ,112
234       ,ביצרון                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1226      ,107       ,296       ,391       ,169       ,96        ,167
235       ,חבצלת השרון              ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,482       ,28        ,94        ,129       ,68        ,48        ,115
237       ,שער העמקים               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,751       ,71        ,120       ,237       ,85        ,60        ,178
