employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"פיצה פאי, קריית יהודית 14 באר-שבע",,"<a title=""6.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/6.4.2022.pdf""> 6.4.2022.pdf </a>",באר שבע, קריית יהודית 14,26/06/2022,מסעדות,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"טרנס אלקטריק פרו פיתוח וייצור טכנולוגיות בע""מ",512594987,"<a title=""150001065013.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/150001065013.pdf""> 150001065013.pdf </a>",מודיעין-מכבים-רעות,השקד 27,26/06/2022,"תקשורת, הנדסה ומחשוב",,פנייה,"חוק עבודת נשים תשי""ד-1954",,,,,,,,,,,
"ברייט קונספט בע""מ",514878446,"<a title=""3-1433-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/3-1433-2-2021.pdf""> 3-1433-2-2021.pdf </a>",רמת השרון,אוסישקין 54,23/06/2022,מסחר,"29,248",יזום,"חוק עבודת הנוער תשי""ג-1953",,,,,,,,,,,
"חקלאות טבעית 2021 בע""מ",516415668,,ניר יוסף,,22/06/2022,חקלאות,"38,480",פנייה,"חוק שכר מינימום, תשמ""ז-1987
סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",,1,1,לא,לא,לא קיים,,,,,
"אוטו פאואר יבוא והפצה בע""מ",514873330,"<a title=""19-1691-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-1691-3-2021.pdf""> 19-1691-3-2021.pdf </a>",ראשון לציון,ילדי טהרן 5,20/06/2022,מסחר,"18,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
משרד עורכי דין ירושלים,,,ירושלים,מונבז 1,19/06/2022,"שרותים מקצועיים, טכניים ואישיים","73,120",פניה,"חוק שכר מינימום, תשמ""ז-1987
סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",,1,1,לא,לא,לא קיים,,,,,
"ביג אפל פיצה גילה בע""מ ",515388213,"<a title=""24942021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/24942021.pdf""> 24942021.pdf </a>",ירושלים,הגננת 240,19/06/2022,מסעדות,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מינץ התקנות בע""מ",513381111,"<a title=""21-33-788-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-33-788-2-2022.pdf""> 21-33-788-2-2022.pdf </a>",חיפה,האמהות 18 (קרית שמואל),19/06/2022,"תקשורת, הנדסה ומחשוב","219,360",פנייה,"חוק הגנת השכר תשי""ח-1958,צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"גמאדיל סוכנות לביטוח בע""מ",514630185,"<a title=""21-166-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-166-2-2022.pdf""> 21-166-2-2022.pdf </a>",חולון,סוקולוב 64,16/06/2022,"שרותים מקצועיים, טכניים ואישיים","109,680",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מטבחי ג'אנרו לנגרות בע""מ",515126241,,ירכא,אזור התעשייה 11,16/06/2022,תעשייה,,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",165-2022,15,4,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"ווט נפס בע""מ",512019928,"<a title=""21-2063-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2063-2-2021.pdf""> 21-2063-2-2021.pdf </a>",קיסריה,שחם 2,15/06/2022,תעשייה,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"גו- בי מרקטינג בע""מ ",515550366,"<a title=""20572021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/20572021.pdf""> 20572021.pdf </a>",תל אביב,מוזס יהודה ונח 13,15/06/2022,מסחר,"658,080",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"וומן נט בע""מ",514406289,"<a title=""21-2598-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2598-3-2021.pdf""> 21-2598-3-2021.pdf </a>",הוד השרון,העבודה 13,14/06/2022,"תקשורת, הנדסה ומחשוב","18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
 א.ש אחזקות,,"<a title=""21-184-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-184-3-2022.pdf""> 21-184-3-2022.pdf </a>",רמת גן,שלום עליכם 25,12/06/2022,קבלני שירותים (שמירה אבטחה וניקיון),"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
צ'יוואווה,,"<a title=""1905.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1905.4.2021.pdf""> 1905.4.2021.pdf </a>",אשקלון,אלי כהן 42,12/06/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"שיר בן קייטרינג בע""מ",512251604,"<a title=""2538.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2538.4.2021.pdf""> 2538.4.2021.pdf </a>",באר שבע,ניסנמן 3,12/06/2022,אולמות אירועים/שרותי קיטרינג,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
משרד עורכי דין ,,"<a title=""21-1826-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1826-3-2021.pdf""> 21-1826-3-2021.pdf </a>",בת ים,רוטשילד 35,09/06/2022,"שרותים מקצועיים, טכניים ואישיים","18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"שאול ברזי קמעונות בע""מ",516331600,"<a title=""421.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/421.4.2022.pdf""> 421.4.2022.pdf </a>",ראשון לציון,ההתיישבות 9,08/06/2022,מסחר,"36,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"סראיא פרויקטים בע""מ",515396299,,נחף,נחף,19/02/2024,בניין,"19,885",מודיעין,"חוק הגנת השכר, תשי""ח-1958
סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",4132022,15,2,לא,לא,1(א)(1)+ 1(א)(3) - 50%,,,,,
ישראקלין,,"<a title=""15652021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15652021.pdf""> 15652021.pdf </a>",פתח תקווה,קטרוני 23,08/06/2022,שרותי ניקיון,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"סקופ אוף וורק בע""מ ",514605799,"<a title=""586.3.2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/586.3.2020.pdf""> 586.3.2020.pdf </a>",פתח תקווה,העצמאות 91,08/06/2022,קבלני כוח אדם,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מוקה מכונות קפה בע""מ",515807048,"<a title=""1429.3.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1429.3.2021.pdf""> 1429.3.2021.pdf </a>",פתח תקווה,קיש 11,07/06/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"בן-אדם קפה בע""מ",515023356,"<a title=""17192019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17192019.pdf""> 17192019.pdf </a>",ירושלים,ירמיהו 43,02/06/2022,מסעדות,"20,108",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"רויאל טאוור הוטל בע""מ",513644773,"<a title=""28.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/28.4.2022.pdf""> 28.4.2022.pdf </a>",ירושלים,ת.ד. 35159,31/05/2022,שרותי אירוח/בתי מלון,"109,680",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ווינוויס בע""מ",513426163,"<a title=""21-1715-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1715-3-2021.pdf""> 21-1715-3-2021.pdf </a>",תל אביב - יפו,רוזן פנחס 72,31/05/2022,מסחר,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"עבודות עפר, סלילת כבישים, ערערה-בנגב",,"<a title=""1899.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1899.4.2021.pdf""> 1899.4.2021.pdf </a>",ערערה-בנגב,שכ' 3 143,31/05/2022,בניין,"438,720",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"אי.אר.סי. ניהול ואחזקת מבנים בע""מ",513663930,"<a title=""2291.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2291.4.2021.pdf""> 2291.4.2021.pdf </a>",ראשון לציון,דוד סחרוב 19,31/05/2022,קבלני כוח אדם,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
עמותת פאר יוסף,580206134,"<a title=""210011954015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210011954015.pdf""> 210011954015.pdf </a>",,זווין 21,31/05/2022,חינוך,"21,936",יזום,"חוק הגנת השכר תשי""ח-1958",החלטת וועדת ערר,,,,,,,,,,
"טי.ג'י.אף סמואל אמריקה בע""מ",516018975,"<a title=""33-1696-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/33-1696-2-2021.pdf""> 33-1696-2-2021.pdf </a>",תל אביב - יפו,רציף הרברט סמואל 88,30/05/2022,מסחר,"58,496",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
מחשבים וסלולר ,,"<a title=""19-2204-3-2017.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-2204-3-2017.pdf""> 19-2204-3-2017.pdf </a>",רחובות,הרצל 174,23/05/2022,"תקשורת, הנדסה ומחשוב",,פנייה,"חוק שכר מינימום תשמ""ז-1987",מחזור עסקאות,,,,,,,,,,
"אל על עבודות עפר בע""מ",515953909,"<a title=""121.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/121.4.2022.pdf""> 121.4.2022.pdf </a>",רמת גן,ת.ד. 9075,22/05/2022,בניין,"438,720",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"קרדיו סנטר שרותי רפואה בע""מ",513886754,"<a title=""2055.4.2021 . 33.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2055.4.2021 . 33.pdf""> 2055.4.2021 . 33.pdf </a>",ראשון לציון,הרצל 30,22/05/2022,שרותי בריאות וסיעוד,"1,535,520",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"קרדיו סנטר שרותי רפואה בע""מ",513886754,"<a title=""2055.4.2021 . 21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2055.4.2021 . 21.pdf""> 2055.4.2021 . 21.pdf </a>",ראשון לציון,הרצל 30,22/05/2022,שרותי בריאות וסיעוד,"1,535,520",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"בראשית אמריקה ישראל בע""מ",515305084,"<a title=""21-2608-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2608-3-2021.pdf""> 21-2608-3-2021.pdf </a>",ראשון לציון,דוד סחרוב 3,22/05/2022,"שרותים מקצועיים, טכניים ואישיים","18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
קבלן כח אדם בתחום הגינון,,"<a title=""21-2293-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2293-2-2021.pdf""> 21-2293-2-2021.pdf </a>",זמר,זמר,22/05/2022,גינון ותחזוקה לבניינים,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ג.מ ראמא חברה לעבודות בניה בע""מ",515667996,"<a title=""21-225-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-225-2-2022.pdf""> 21-225-2-2022.pdf </a>",מעלה עירון,מושרייפה ,22/05/2022,בניין,"255,920",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"להבים יבוא ושיווק אביזרי אופנה בע""מ",516241999,"<a title=""912.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/912.4.2021.pdf""> 912.4.2021.pdf </a>",ראשון לציון,איתן 32,22/05/2022,מסחר,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"קאי (אוקיינוס) פתרונות כ""א בע""מ",515921526,"<a title=""244.4.2022 . 21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/244.4.2022 . 21.pdf""> 244.4.2022 . 21.pdf </a>",אשקלון,כצנלסון 10,18/05/2022,"השמת כ""א והשמת ילדים בהופעות ופרסומות","621,520",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"קאי (אוקיינוס) פתרונות כ""א בע""מ",515921526,"<a title=""244.4.2022 . 19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/244.4.2022 . 19.pdf""> 244.4.2022 . 19.pdf </a>",אשקלון,כצנלסון 10,18/05/2022,"השמת כ""א והשמת ילדים בהופעות ופרסומות","36,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"א.ב.א אמיר הובלות בע""מ",515996254,"<a title=""279.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/279.4.2022.pdf""> 279.4.2022.pdf </a>",רהט,אלנור 6,17/05/2022,היסעים והובלות,"109,680",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"שומרי משקל בע""מ",510503790,"<a title=""21-170-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-170-3-2022.pdf""> 21-170-3-2022.pdf </a>",כפר נטר,,17/05/2022,"שרותים מקצועיים, טכניים ואישיים","658,080",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מזל וברכה - הסעדה בע""מ",513538926,"<a title=""21-2543-3-2019.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2543-3-2019.pdf""> 21-2543-3-2019.pdf </a>",תל אביב - יפו,הארבעה 19,17/05/2022,מסעדות,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"בא בטוב שיווק בע""מ",514574946,"<a title=""19-557-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-557-3-2022.pdf""> 19-557-3-2022.pdf </a>",עופרה,הצבר 28,16/05/2022,מסחר,"72,120",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"ד""ר פוד",,"<a title=""21-340-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-340-3-2022.pdf""> 21-340-3-2022.pdf </a>","כפר מל""ל",עין חי 33,16/05/2022,מסחר,"109,680",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אחדות הסעות בע""מ ",513029207,"<a title=""15462021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15462021.pdf""> 15462021.pdf </a>",ירושלים,עם ועולמו 3,16/05/2022,היסעים והובלות,"21,936",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מעיין השלום בע""מ",513592915,,רהט,קניון רהט 49,15/05/2022,"חינוך,גני ילדים,מעונות,בתי ספר","804,320",פנייה,"חוק הגנת השכר, תשי""ח-1958
סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",,170,10,לא,לא,לא קיים,,,,,
"מעיין השלום בע""מ",513592915,,רהט,קניון רהט 49,15/05/2022,"חינוך,גני ילדים,מעונות,בתי ספר","840,880",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956
אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",,170,10,לא,לא,לא קיים,,,,,
"די אנד די דנה דוד קניינות ויבוא בע""מ",515115384,"<a title=""2355.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2355.4.2021.pdf""> 2355.4.2021.pdf </a>",רחובות,הורביץ אלי 12,15/05/2022,מסחר,"438,720",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"א.א.י.נ. ביזנס טיים בע""מ",515988376,"<a title=""2286.4.2021.19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2286.4.2021.19.pdf""> 2286.4.2021.19.pdf </a>",רחובות,המדע 1,15/05/2022,"תקשורת, הנדסה ומחשוב","365,600",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"א.א.י.נ. ביזנס טיים בע""מ",515988376,"<a title=""2286.4.2021.21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2286.4.2021.21.pdf""> 2286.4.2021.21.pdf </a>",רחובות,המדע 1,15/05/2022,"תקשורת, הנדסה ומחשוב","182,800",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אמש ניהול וחזקות בע""מ",514459932,"<a title=""1529.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1529.4.2021.pdf""> 1529.4.2021.pdf </a>",אשקלון,כצנלסון 13,15/05/2022,מסעדות,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
סושי האוס ,,"<a title=""1892.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1892.4.2021.pdf""> 1892.4.2021.pdf </a>",דימונה,יהודה הלוי 27,15/05/2022,אולמות אירועים/שרותי קיטרינג,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"שיראל אספרסו בר בע""מ",515493500,"<a title=""15.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15.4.2022.pdf""> 15.4.2022.pdf </a>",באר שבע,עפרוני 112,11/05/2022,מסעדות,"73,120",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
